SMILES,ALERTS,ALOGP,AROM,HBA,HBD,MW,PSA,ROTB,QED
CN1C(=O)CN=C(c2ccccc2Cl)c2ccccc21,0,3.15380,2,1,0,284.74600,32.67000,1,0.94903
CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1,0,3.55062,3,2,0,308.41000,43.07000,2,0.98341
Cc1ccc2c(c1)NC(=O)CN=C2c1ccccc1F,0,2.92362,2,1,1,268.29100,41.46000,1,0.89980
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,0,3.93400,2,1,0,324.81100,32.67000,3,0.95854
O=C1CN=C(c2ccccc2F)c2ccccc2N1,0,2.61520,2,1,1,254.26400,41.46000,1,0.82998
Cc1nnc2n1-c1ccc([N+](=O)[O-])cc1C(c1ccccc1Cl)=NC2,2,3.48832,3,4,0,353.76900,86.21000,2,0.83427
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccn1)=NC2,0,2.97512,3,3,0,309.76000,55.96000,1,0.98673
COC(=O)CCC1N=C(c2ccccn2)c2cc(Br)ccc2-n2cc(C)nc21,1,4.18352,3,4,0,439.31300,69.37000,4,0.42311
CCOC(=O)c1ncn2c1CN=C(c1ccccc1)c1cc(Cl)ccc1-2,1,4.05340,3,3,0,365.82000,56.48000,3,0.80198
CN1C(=S)CN=C(c2ccccc2)c2cc(Cl)ccc21,1,3.95460,2,2,0,300.81400,15.60000,1,0.96166
CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21,0,3.60590,1,1,0,288.77800,32.67000,1,0.95867
CN1C(=O)CN=C(c2ccccc2F)c2cc(Br)ccc21,0,3.40200,2,1,0,347.18700,32.67000,1,0.87996
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,0,4.83852,3,1,0,342.22900,30.18000,1,0.88288
O=C1CN=C(c2cccs2)c2cc(Br)ccc2N1,0,3.30010,2,1,1,321.19900,41.46000,1,0.97506
O=Cc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,1,2.28860,2,2,1,264.28400,58.53000,2,0.89397
CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O,2,3.20030,2,3,1,360.77200,67.76000,3,0.83075
CC1N=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=O,2,3.42620,2,3,1,329.74300,84.60000,2,0.92694
CP(C)(=O)CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1,4.10420,2,2,0,360.78100,49.74000,3,0.83214
CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,0,4.20402,3,2,0,342.85500,43.07000,2,0.90281
O=C1Nc2ccc(Br)cc2C(c2ccccc2Cl)=NC1O,0,3.21040,2,2,2,365.61400,61.69000,1,0.80947
O=C1CN=C(c2c(F)cccc2F)c2ccccc2N1,0,2.75430,2,1,1,272.25400,41.46000,1,0.91663
O=C1Nc2ccc([N+](=O)[O-])cc2C(c2ccccc2F)=NC1O,2,1.84180,2,4,2,315.26000,104.83000,2,0.88379
CCCN(CCC)Cc1nc(-c2ncn3c2CN(C)C(=O)c2cc(F)ccc2-3)no1,0,3.26900,3,6,0,412.46900,80.29000,7,0.54561
CCCN(CCC)Cc1cnc(-c2ncn3c2CN(C)C(=O)c2cc(F)ccc2-3)o1,0,3.87400,3,5,0,411.48100,67.40000,7,0.55287
O=C1CN2CCOC2(c2ccccc2F)c2cc(Cl)ccc2N1CCO,0,2.35130,2,4,1,376.81500,53.01000,3,0.74794
O=C1CN=C(c2c(F)cccc2F)c2ccc(Cl)cc2N1,0,3.40770,2,1,1,306.69900,41.46000,1,0.98929
O=[N+]([O-])c1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,2,2.52650,3,4,0,305.29700,86.21000,2,0.94086
CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0,3.47240,3,3,0,369.83100,46.31000,3,0.77640
O=C1Nc2ccc(Cl)nc2C(c2ccccc2Cl)=NC1O,1,2.49630,2,3,2,322.15100,74.58000,1,0.96503
Cc1nnc2n1-c1ccc([N+](=O)[O-])cc1C(c1ccccc1)=NC2,2,2.83492,3,4,0,319.32400,86.21000,2,0.93334
CN(C)CCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2.Cc1ccc(S(=O)(=O)O)cc1,1,4.61752,4,6,1,538.07300,100.68000,5,0.15238
CN1c2ccccc2C(c2ccccc2Cl)=NCC1(Cl)CO,2,3.55460,2,2,1,335.23400,35.83000,2,0.92892
O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1,1,3.34690,2,2,1,286.71800,49.41000,1,0.97217
Cc1nnc2n1-c1ccc(Br)cc1C(c1ccccc1)=NC2,0,3.68922,3,2,0,353.22300,43.07000,1,0.85751
CC1=c2ccccc2=NC(=O)CN1,0,-0.43590,1,2,1,174.20300,41.46000,0,0.38954
CN1CCN(C=C2N=C3CN=C(c4ccccc4F)c4cc([N+](=O)[O-])ccc4N3C2=O)CC1,3,2.41880,2,5,0,448.45800,94.65000,3,0.38164
C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(C(=O)OCC)ncn1-2,2,2.77630,3,4,0,356.38500,69.37000,3,0.84289
C#Cc1ccc2c(c1)C(c1ccccc1Cl)=NCc1nnc(C)n1-2,1,3.56142,3,2,0,332.79400,43.07000,1,0.93918
CCc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,0,3.03850,2,1,1,264.32800,41.46000,2,0.88242
Cc1nnc2n1-c1sc(Cl)cc1C(c1ccccc1Cl)=NC2,0,4.29502,3,2,0,349.24600,43.07000,1,0.87438
O=C1CN=C(c2ccccc2)c2cc(F)ccc2N1,0,2.61520,2,1,1,254.26400,41.46000,1,0.82998
CN1C(=O)CN=C(c2ccccc2[N+](=O)[O-])c2cc([N+](=O)[O-])ccc21,2,2.31680,2,5,0,340.29500,118.95000,3,0.77865
CN1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1,1,3.03150,2,8,0,477.99900,78.87000,2,0.27909
[N-]=[N+]=Nc1ccc2c(c1)C(c1ccccc1F)=NCC(=O)N2,3,3.55700,2,1,1,295.27700,90.22000,2,0.91779
Cc1nnc2n1-c1ccccc1C(c1ccccc1Cl)=NC2,0,3.58012,3,2,0,308.77200,43.07000,1,0.98274
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,2,3.03770,2,3,1,315.71600,84.60000,2,0.95098
C#Cc1ccc2c(c1)C(c1ccccc1F)=NCc1c(C(=O)OCC)ncn1-2,2,3.52040,3,3,0,373.38700,56.48000,3,0.75840
CC1N=C(c2ccccc2F)c2cc(Br)ccc2NC1=O,0,3.76620,2,1,1,347.18700,41.46000,1,0.88936
CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0,3.29290,2,1,0,302.73600,32.67000,1,0.97922
O=C1CN=C(c2c(F)cccc2F)c2cc(Cl)ccc2N1,0,3.40770,2,1,1,306.69900,41.46000,1,0.98929
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(-c3ccccc3)ccc1-2,1,3.30160,3,4,0,361.40100,64.43000,3,0.82504
O=C(O)CCC(=O)OC1N=C(c2ccccc2Cl)c2cc(Br)ccc2NC1=O,1,3.62610,2,5,2,465.68700,105.06000,5,0.32110
CN1C(=O)CN=C(c2ccccc2F)c2cc(NO)ccc21,1,2.44060,2,3,2,299.30500,64.93000,2,0.98845
O=C1Nc2ccc(Cl)cc2C(c2ccccc2F)=NC1Cl,2,3.83350,2,1,1,323.15400,41.46000,1,0.96316
O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CCO,0,2.65540,2,2,1,332.76200,52.90000,3,0.95568
CCOC(=O)c1ncn2c1C1CCN1C(=O)c1c(Cl)cccc1-2,1,2.60300,2,4,0,331.75900,64.43000,2,0.95344
Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,0,4.40412,3,2,0,393.69700,43.07000,1,0.63489
Cc1nnc2ccc(-c3cccc(C(F)(F)F)c3)nn12,0,3.11852,3,3,0,278.23700,43.08000,1,0.93396
CC1CN2CC(=O)Nc3ccc(Cl)cc3C2(c2ccccc2)O1,0,3.21390,2,3,1,328.79900,41.57000,1,0.96120
