SMILES,ALERTS,ALOGP,AROM,HBA,HBD,MW,PSA,ROTB,QED
O=C1CN=C(c2ccn[nH]2)c2cc(Cl)ccc2N1,0,1.85260,2,2,2,260.68400,70.14000,1,0.87051
NC(=O)c1ncn2c1CN=C(c1ccccc1Cl)c1ccccc1-2,0,2.97560,3,2,1,336.78200,73.27000,2,0.92276
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccc(N3CCCCC3)cc2C1=O,1,3.40350,2,5,0,396.49100,67.67000,2,0.63897
Cc1nnc2n1-c1sc(I)cc1C(c1ccccc1Cl)=NC2,1,4.24622,3,2,0,440.69700,43.07000,1,0.39660
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)c(Cl)cc21,0,3.80720,2,1,0,319.19100,32.67000,1,0.96874
CC(C)(C)N1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,2,3.71640,2,3,0,355.36900,75.81000,2,0.84909
COc1cccc2c1C(=O)N1CCCC1c1c(C(=O)OC(C)(C)C)ncn1-2,1,3.12690,2,5,0,369.42100,73.66000,2,0.78431
C=Cc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,0,3.11910,2,1,1,262.31200,41.46000,2,0.87270
Cc1nnc2n1-c1sc(C(C)C)cc1C(c1ccccc1Cl)=NC2,0,4.76502,3,2,0,356.88200,43.07000,2,0.83583
NC(=O)c1ncn2c1CN=C(c1ccccc1Br)c1cc(F)ccc1-2,0,3.22380,3,2,1,399.22300,73.27000,2,0.61980
C#Cc1ccc2c(c1)C(c1ccccc1F)=NCc1nnc(C)n1-2,1,3.04712,3,2,0,316.33900,43.07000,1,0.97609
Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1F)=NC2,0,3.88982,3,2,0,377.24200,43.07000,1,0.72952
O=C1CN=C(c2ccccc2Br)c2cc(F)ccc2N1,0,3.37770,2,1,1,333.16000,41.46000,1,0.94416
C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1nnc(C)n1-2,1,2.30302,3,3,0,299.33700,55.96000,1,0.98313
Cc1nn(C)c2c1N(c1ccccc1)C(=O)CC(=O)N2C,1,1.75972,2,3,0,284.31900,58.44000,1,0.96627
O=C1CN=C(C2=CCCCC2)c2cc(Cl)ccc2N1,0,3.58160,1,1,1,274.75100,41.46000,1,0.92577
CCOC(=O)c1ncn2c1CN(C)C(=O)c1ccc(Cl)cc1-2,1,2.28800,2,4,0,319.74800,64.43000,2,0.98073
O=C1CN=C(c2ccccc2C(F)(F)F)c2cc([N+](=O)[O-])ccc2N1,2,3.40310,2,3,1,349.26800,84.60000,2,0.86347
CN1C(=O)CN=C(c2ccccc2F)c2cc(I)ccc21,1,3.24410,2,1,0,394.18700,32.67000,1,0.62374
CCOC(=O)C1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O,2,3.71460,2,3,1,377.22700,67.76000,3,0.74459
Fc1ccccc1C1=CCc2nncn2-c2ccc(Cl)cc21,0,4.04760,3,2,0,311.74700,30.71000,1,0.96711
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(CC)ccc1-2,1,2.19700,2,4,0,313.35700,64.43000,3,0.98932
O=C1COC(N2CCN=C(c3ccccc3Cl)c3cc(Cl)ccc32)=N1,0,3.56360,2,3,0,374.22700,54.26000,1,0.76153
CN1C(=O)CN=C(c2c(F)cccc2F)c2cc(Cl)ccc21,0,3.43200,2,1,0,320.72600,32.67000,1,0.96671
CC(C)(C)OC(=O)c1ncn2c1C1CCN1C(=O)c1c(Cl)cccc1-2,1,3.38160,2,4,0,359.81300,64.43000,1,0.83857
CN1C(=O)CN=C(c2ccccc2Cl)c2cc(Cl)ccc21,0,3.80720,2,1,0,319.19100,32.67000,1,0.96874
CCc1cc2c(s1)-n1cnnc1CN=C2c1ccccc1Cl,0,3.89560,3,2,0,328.82800,43.07000,2,0.95163
CC(C)(C)OC(=O)c1ncn2c1C1CCCN1C(=O)c1c-2ccc(F)c1Cl,1,3.91080,2,4,0,391.83000,64.43000,1,0.66444
CC(C)(C)OC(=O)c1ncn2c1C1CCCN1C(=O)c1c(Br)cccc1-2,1,3.88080,2,4,0,418.29100,64.43000,1,0.52179
C#Cc1ccc2c(c1)C(c1ccccc1F)=NCC(=O)N2C,1,2.62080,2,1,0,292.31300,32.67000,1,0.96567
CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0,3.33330,3,3,0,351.84100,46.31000,3,0.86883
N#CCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21,0,2.89518,2,3,1,357.77200,76.69000,3,0.84320
CN(C)S(=O)(=O)c1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,0,1.72640,2,3,1,343.40800,78.84000,3,0.90105
Cc1cc2c(cc1Cl)NC(=O)CN=C2c1ccccc1F,0,3.57702,2,1,1,302.73600,41.46000,1,0.98825
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O,1,2.47470,2,4,0,319.38600,64.43000,1,0.98089
